n,design,distr,effectX1,effectX2,effectX1X2,X1,X2,X1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
16,4x3,likert5B,0,0,0,0.0068,0.0101,0.0447,0.0141,0.0046,0.0562,0.0023,0.0021,0.0596,0.0118,0.0079,0.0841,0.0062,0.0034,0.058
16,4x3,likert5B,0,0,0,0.0239,0.0031,0.0832,0.013,0.0064,0.0435,0.0143,0.0078,0.0503,0.0155,0.0061,0.0855,0.0143,0.0071,0.0467
16,4x3,likert5B,0,0,0,0.0052,0.0007,0.0446,0.0302,0.0105,0.0446,0.0299,0.0095,0.0426,0.0529,0.0123,0.0573,0.0239,0.014,0.0448
16,4x3,likert5B,0,0,0,0.0009,0.0049,0.021,0.0108,0.002,0.0527,0.0078,0.0018,0.0597,0.0446,0.01,0.1296,0.008,0.0012,0.0588
16,4x3,likert5B,0,0,0,0.0085,0.0009,0.0118,0.0076,0.0017,0.0242,0.0043,0.0045,0.0248,0.0055,0.0422,0.0277,0.0061,0.0035,0.0259
16,4x3,likert5B,0,0,0,0.004,0.0218,0.0132,0.008,0.0147,0.0325,0.0059,0.0168,0.0271,0.0073,0.0101,0.0224,0.0072,0.0149,0.0304
16,4x3,likert5B,0,0,0,0.0166,0.0104,0.0145,0.0188,0.0341,0.0532,0.0262,0.0266,0.0548,0.0681,0.025,0.0456,0.0242,0.0244,0.0599
16,4x3,likert5B,0,0,0,0.0226,0.0063,0.0318,0.0217,0.0065,0.022,0.0252,0.0065,0.0267,0.0112,0.0047,0.0271,0.017,0.0072,0.0256
16,4x3,likert5B,0,0,0,0.0052,0.001,0.0235,0.0046,0.0059,0.0209,0.001,0.0025,0.0327,0.0311,0.0239,0.0317,0.002,0.001,0.0309
16,4x3,likert5B,0,0,0,0.0104,0.033,0.0352,0.0134,0.012,0.0287,0.0136,0.0206,0.0237,0.0078,0.0112,0.0169,0.0129,0.0166,0.0273
16,4x3,likert5B,0,0,0,0.0221,0.0162,0.0289,0.0423,0.0138,0.0215,0.038,0.0127,0.023,0.079,0.0198,0.0306,0.0455,0.0142,0.0142
16,4x3,likert5B,0,0,0,0.0075,0.0046,0.0278,0.0048,0.0001,0.0172,0.0022,0.0006,0.0182,0.008,0.005,0.0211,0.0031,0.0014,0.0142
16,4x3,likert5B,0,0,0,0.022,0.0018,0.0604,0.0106,0.0055,0.0318,0.0097,0.0058,0.0355,0.0149,0.0017,0.0553,0.0102,0.008,0.0252
16,4x3,likert5B,0,0,0,0.0336,0.005,0.0278,0.012,0.0046,0.0368,0.0136,0.0016,0.0296,0.0123,0.0005,0.0315,0.0118,0.0042,0.0358
16,4x3,likert5B,0,0,0,0.0038,0.0185,0.0478,0.0046,0.0109,0.0322,0.0127,0.0087,0.0416,0.0093,0.006,0.0289,0.0084,0.0099,0.0427
16,4x3,likert5B,0,0,0,0.035,0.0009,0.0327,0.0441,0.0025,0.0151,0.0398,0.0039,0.0245,0.0383,0.0043,0.0269,0.0446,0.0026,0.0161
16,4x3,likert5B,0,0,0,0.0234,0.0139,0.0731,0.0155,0.0057,0.0663,0.0145,0.0051,0.0647,0.0329,0.0176,0.0949,0.0224,0.0071,0.0746
16,4x3,likert5B,0,0,0,0.0011,0.0108,0.0551,0.0115,0.0048,0.0242,0.0089,0.0053,0.0247,0.0139,0.013,0.0232,0.0111,0.003,0.0202
16,4x3,likert5B,0,0,0,0.0104,0.0001,0.0166,0.0281,0.0004,0.0162,0.0271,0.0005,0.0158,0.0254,0.0003,0.0153,0.0281,0.0004,0.0187
16,4x3,likert5B,0,0,0,0.0172,0.0001,0.057,0.0153,0.0051,0.0251,0.0083,0.0053,0.0254,0.0159,0.0082,0.036,0.0143,0.0053,0.0251
16,4x3,likert5B,0,0,0,0.0175,0.0145,0.0305,0.0037,0.0115,0.0135,0.0057,0.0103,0.0156,0.0075,0.0157,0.0117,0.0058,0.0079,0.0148
16,4x3,likert5B,0,0,0,0.0031,0.0084,0.0347,0.0016,0.0059,0.0169,0.0015,0.0064,0.0161,0.0107,0.0022,0.0186,0.0015,0.0062,0.0213
16,4x3,likert5B,0,0,0,0.0061,0.0083,0.0318,0.0112,0.0021,0.0596,0.0114,0.0026,0.0626,0.0156,0.0014,0.0344,0.0174,0.0036,0.0573
