n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,2x3,norm,-2.9331,-3.7584,3.5114,1.4451,1.4531,0.7838,1.1613,1.1766,0.294,1.4969,1.4764,0.8066,1.0569,1.0942,0.3042,1.4451,1.4531,0.7838
20,2x3,norm,-3.8661,-3.5927,-3.6279,1.8896,1.2196,0.7761,1.4657,0.8964,0.3951,1.7291,1.2487,0.7647,1.2707,0.8549,0.3484,1.8896,1.2196,0.7761
20,2x3,norm,2.5634,1.9191,-3.2946,1.2957,0.6754,0.8141,1.1132,0.5356,0.6747,1.4388,0.646,0.8132,0.9438,0.4582,0.6226,1.2957,0.6754,0.8141
20,2x3,norm,0.1403,2.7209,0.2127,0.1879,1.1127,0.1016,0.1949,1.1278,0.0917,0.181,1.1334,0.1011,0.1816,1.0355,0.0872,0.1879,1.1127,0.1016
20,2x3,norm,-2.6773,-1.2733,-1.5459,1.2545,0.5016,0.4642,1.3284,0.4631,0.3539,1.3604,0.5008,0.4335,1.191,0.4389,0.4176,1.2545,0.5016,0.4642
20,2x3,norm,3.6529,1.5229,0.3223,1.6901,0.6917,0.264,1.7554,0.6332,0.2321,1.5932,0.7127,0.2817,1.4322,0.6293,0.1564,1.6901,0.6917,0.264
20,2x3,norm,-0.5361,3.1374,-2.8012,0.1776,1.1629,0.5743,0.0044,1.0837,0.4278,0.1581,1.1554,0.5834,0.0446,1.0705,0.4896,0.1776,1.1629,0.5743
20,2x3,norm,0.7618,-0.2648,1.4558,0.315,0.2392,0.2583,0.3295,0.2095,0.2368,0.3116,0.199,0.2277,0.3127,0.2337,0.2562,0.315,0.2392,0.2583
20,2x3,norm,-1.707,1.6047,-1.6846,0.7856,0.6529,0.2549,0.8199,0.7101,0.2565,0.8544,0.6635,0.2627,0.703,0.6092,0.2331,0.7856,0.6529,0.2549
20,2x3,norm,-1.7044,2.9954,-2.6616,0.7856,1.2018,0.5534,0.699,1.125,0.3461,0.8621,1.2426,0.5784,0.6384,1.0391,0.39,0.7856,1.2018,0.5534
20,2x3,norm,2.7416,0.6868,1.279,1.1367,0.1426,0.2789,1.1917,0.1097,0.2509,1.1528,0.155,0.2811,1.0767,0.1354,0.2811,1.1367,0.1426,0.2789
20,2x3,norm,-1.5398,-2.0639,-0.676,0.7949,0.7952,0.2109,0.7768,0.763,0.1121,0.8767,0.8222,0.1938,0.7836,0.7672,0.1589,0.7949,0.7952,0.2109
20,2x3,norm,-0.5604,-0.9157,-2.9738,0.1399,0.4818,0.6177,0.0658,0.44,0.6127,0.1047,0.4874,0.6404,0.1014,0.4707,0.5937,0.1399,0.4818,0.6177
20,2x3,norm,-3.2416,-0.9647,2.9958,1.3628,0.3196,0.6883,1.4193,0.2126,0.5642,1.4453,0.3168,0.6921,1.2877,0.2053,0.6405,1.3628,0.3196,0.6883
20,2x3,norm,-3.3507,2.7292,-3.1236,1.6659,1.1735,0.7474,1.3305,0.9174,0.3991,1.6099,1.2016,0.761,1.1499,0.754,0.3382,1.6659,1.1735,0.7474
20,2x3,norm,-2.6292,0.4727,-3.2119,1.223,0.2259,0.5167,1.3092,0.1897,0.4962,1.3183,0.2188,0.5367,1.1804,0.2213,0.5154,1.223,0.2259,0.5167
