n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,2x3,norm,-4.8498,-2.4393,0,2.185,0.988,0.0228,2.2576,1.0009,0.0288,1.7305,0.9964,0.0179,1.7245,0.9106,0.0717,2.185,0.988,0.0228
20,2x3,norm,-7.9721,1.4615,0,3.9241,0.599,0.1664,1.9951,0.5561,0.1308,1.7344,0.591,0.1793,1.5359,0.5518,0.1355,3.9241,0.599,0.1664
20,2x3,norm,5.9507,-3.4606,0,2.8919,1.5211,0.078,2.7325,1.3139,0.0996,1.7341,1.3375,0.1256,1.9651,1.1277,0.1102,2.8919,1.5211,0.078
20,2x3,norm,0.2584,-6.1132,0,0.134,2.0423,0.0666,0.1056,1.8536,0.0624,0.1109,1.874,0.0547,0.1371,1.5603,0.1161,0.134,2.0423,0.0666
20,2x3,norm,-7.5034,-7.6182,0,2.9719,2.4697,0.1169,2.5559,1.9782,0.1786,1.7326,2.3291,0.1012,2.1201,1.7971,0.1254,2.9719,2.4697,0.1169
20,2x3,norm,-3.8927,-5.4958,0,1.9691,2.2563,0.1036,1.6581,1.9393,0.2573,1.7257,1.6586,0.0866,1.4829,1.7216,0.1232,1.9691,2.2563,0.1036
20,2x3,norm,5.3824,-2.8455,0,2.4776,1.0594,0.0844,2.362,1.0959,0.0083,1.7339,1.1172,0.0675,1.8011,0.9976,0.0869,2.4776,1.0594,0.0844
20,2x3,norm,1.0968,-4.2588,0,0.3517,1.8102,0.0934,0.3659,1.5138,0.1224,0.3878,1.4357,0.0859,0.3465,1.304,0.0672,0.3517,1.8102,0.0934
20,2x3,norm,3.6867,0.1435,0,1.8779,0.1849,0.0463,1.6831,0.1558,0.0711,1.6664,0.1466,0.0621,1.3306,0.1959,0.0595,1.8779,0.1849,0.0463
20,2x3,norm,-6.4614,-5.114,0,2.9484,1.8578,0.1225,2.947,1.7338,0.1406,1.7334,1.8702,0.1407,2.1955,1.5061,0.1204,2.9484,1.8578,0.1225
20,2x3,norm,2.1124,-3.2053,0,0.8929,1.0472,0.104,0.88,0.9944,0.0407,0.9348,1.0224,0.1072,0.8746,0.9816,0.0304,0.8929,1.0472,0.104
