n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX2
20,4x3,exp,INT,0.01,0,0,0,0.0081
20,4x3,exp,PAR,0.05,0.5,0,0,0.049
20,4x3,exp,RNK,0.05,0.5,0,0,0.0466
20,4x3,exp,ART,0.05,0.5,0,0,0.0647
20,4x3,exp,INT,0.05,0.5,0,0,0.0462
20,4x3,exp,PAR,0.01,0.5,0,0,0.0101
20,4x3,exp,RNK,0.01,0.5,0,0,0.0079
20,4x3,exp,ART,0.01,0.5,0,0,0.0135
20,4x3,exp,INT,0.01,0.5,0,0,0.0087
20,4x3,exp,PAR,0.05,1,0,0,0.0517
20,4x3,exp,RNK,0.05,1,0,0,0.0513
20,4x3,exp,ART,0.05,1,0,0,0.1139
20,4x3,exp,INT,0.05,1,0,0,0.0505
20,4x3,exp,PAR,0.01,1,0,0,0.0087
20,4x3,exp,RNK,0.01,1,0,0,0.0079
20,4x3,exp,ART,0.01,1,0,0,0.0364
20,4x3,exp,INT,0.01,1,0,0,0.0085
20,4x3,exp,PAR,0.05,2,0,0,0.0452
20,4x3,exp,RNK,0.05,2,0,0,0.0487
20,4x3,exp,ART,0.05,2,0,0,0.2761
20,4x3,exp,INT,0.05,2,0,0,0.0481
20,4x3,exp,PAR,0.01,2,0,0,0.0081
20,4x3,exp,RNK,0.01,2,0,0,0.0093
20,4x3,exp,ART,0.01,2,0,0,0.1541
20,4x3,exp,INT,0.01,2,0,0,0.0093
20,4x3,exp,PAR,0.05,4,0,0,0.0407
20,4x3,exp,RNK,0.05,4,0,0,0.0455
20,4x3,exp,ART,0.05,4,0,0,0.6138
20,4x3,exp,INT,0.05,4,0,0,0.0469
20,4x3,exp,PAR,0.01,4,0,0,0.0078
20,4x3,exp,RNK,0.01,4,0,0,0.0095
20,4x3,exp,ART,0.01,4,0,0,0.4867
20,4x3,exp,INT,0.01,4,0,0,0.0079
20,4x3,exp,PAR,0.05,8,0,0,0.0449
20,4x3,exp,RNK,0.05,8,0,0,0.0521
20,4x3,exp,ART,0.05,8,0,0,0.8493
20,4x3,exp,INT,0.05,8,0,0,0.0533
20,4x3,exp,PAR,0.01,8,0,0,0.0095
20,4x3,exp,RNK,0.01,8,0,0,0.0101
20,4x3,exp,ART,0.01,8,0,0,0.7477
20,4x3,exp,INT,0.01,8,0,0,0.011
30,4x3,exp,PAR,0.05,0,0,0,0.0477
30,4x3,exp,RNK,0.05,0,0,0,0.0503
30,4x3,exp,ART,0.05,0,0,0,0.0513
30,4x3,exp,INT,0.05,0,0,0,0.0504
30,4x3,exp,PAR,0.01,0,0,0,0.0097
30,4x3,exp,RNK,0.01,0,0,0,0.0099
30,4x3,exp,ART,0.01,0,0,0,0.0101
30,4x3,exp,INT,0.01,0,0,0,0.0111
30,4x3,exp,PAR,0.05,0.5,0,0,0.0481
30,4x3,exp,RNK,0.05,0.5,0,0,0.0516
30,4x3,exp,ART,0.05,0.5,0,0,0.0647
30,4x3,exp,INT,0.05,0.5,0,0,0.0499
30,4x3,exp,PAR,0.01,0.5,0,0,0.0101
30,4x3,exp,RNK,0.01,0.5,0,0,0.0099
30,4x3,exp,ART,0.01,0.5,0,0,0.0159
30,4x3,exp,INT,0.01,0.5,0,0,0.0107
30,4x3,exp,PAR,0.05,1,0,0,0.0505
30,4x3,exp,RNK,0.05,1,0,0,0.0567
30,4x3,exp,ART,0.05,1,0,0,0.1177
30,4x3,exp,INT,0.05,1,0,0,0.0536
30,4x3,exp,PAR,0.01,1,0,0,0.0105
30,4x3,exp,RNK,0.01,1,0,0,0.013
30,4x3,exp,ART,0.01,1,0,0,0.0408
30,4x3,exp,INT,0.01,1,0,0,0.0129
30,4x3,exp,PAR,0.05,2,0,0,0.0455
30,4x3,exp,RNK,0.05,2,0,0,0.0519
30,4x3,exp,ART,0.05,2,0,0,0.2852
30,4x3,exp,INT,0.05,2,0,0,0.0489
30,4x3,exp,PAR,0.01,2,0,0,0.0095
30,4x3,exp,RNK,0.01,2,0,0,0.0101
30,4x3,exp,ART,0.01,2,0,0,0.1631
30,4x3,exp,INT,0.01,2,0,0,0.0105
30,4x3,exp,PAR,0.05,4,0,0,0.0459
30,4x3,exp,RNK,0.05,4,0,0,0.0493
30,4x3,exp,ART,0.05,4,0,0,0.6517
30,4x3,exp,INT,0.05,4,0,0,0.0499
30,4x3,exp,PAR,0.01,4,0,0,0.0094
